CD001920	"((stroke[Mesh] OR ""Cerebrovascular Disorders""[Mesh] OR ""Brain Ischemia""[Mesh] OR ""Brain Infarction""[Mesh] OR ""Intracranial Hemorrhages""[Mesh] OR ""Subarachnoid Hemorrhage""[Mesh] OR ""Carotid Artery Diseases""[Mesh] OR ""Intracranial Embolism and Thrombosis""[Mesh] OR ""Hemiplegia""[Mesh] OR ""Paresis""[Mesh] OR ""Gait Disorders, Neurologic""[Mesh] OR stroke[tiab] OR poststroke[tiab] OR post-stroke[tiab] OR cerebrovasc*[tiab] OR cva[tiab] OR apoplex*[tiab] OR SAH[tiab] OR ischemia[tiab] OR ischaemia[tiab] OR infarct*[tiab] OR thrombo*[tiab] OR emboli*[tiab] OR occlus*[tiab] OR hemorrhage*[tiab] OR haemorrhage*[tiab] OR hematoma*[tiab] OR haematoma*[tiab] OR bleed*[tiab] OR hemipleg*[tiab] OR hemipar*[tiab] OR paresis[tiab] OR paretic[tiab]) AND (rehabilitation[Mesh] OR ""Physical Therapy Modalities""[Mesh] OR ""Exercise Therapy""[Mesh] OR ""Occupational Therapy""[Mesh] OR Feedback[Mesh] OR ""Biofeedback, Psychology""[Mesh] OR Neurofeedback[Mesh] OR Exercise[Mesh] OR physiotherapy[tiab] OR ""physical therapy""[tiab] OR ""exercise therapy""[tiab] OR rehabilitation[tiab] OR neurorehabilitation[tiab] OR feedback[tiab] OR biofeedback[tiab] OR ""motor training""[tiab] OR ""motor retraining""[tiab] OR ""motor learning""[tiab] OR ""neuromuscular facilitation""[tiab] OR movement[tiab] OR Bobath[tiab] OR Carr[tiab] OR Brunnstrom[tiab] OR Rood[tiab] OR Johnstone[tiab] OR NDT[tiab]) AND (""Psychomotor Performance""[Mesh] OR ""Motor Skills""[Mesh] OR ""Task Performance and Analysis""[Mesh] OR Learning[Mesh] OR Movement[Mesh] OR Locomotion[Mesh] OR Walking[Mesh] OR Gait[Mesh] OR ""Motor Activity""[Mesh] OR ""Range of Motion, Articular""[Mesh] OR ""Postural Balance""[Mesh] OR Posture[Mesh] OR Supination[Mesh] OR Pronation[Mesh] OR ""Weight-Bearing""[Mesh] OR ""Lower Extremity""[Mesh] OR Back[Mesh] OR motor[tiab] OR gait[tiab] OR walking[tiab] OR walk[tiab] OR mobility[tiab] OR locomotion[tiab] OR movement[tiab] OR learning[tiab] OR conditioning[tiab] OR balance[tiab] OR equilibrium[tiab] OR posture[tiab] OR postur*[tiab] OR supination[tiab] OR pronation[tiab] OR ""body sway""[tiab] OR stance[tiab] OR strength[tiab] OR weight-bearing[tiab] OR ""weight bearing""[tiab] OR ""body weight support""[tiab] OR sitting[tiab] OR standing[tiab] OR stepping[tiab] OR climbing[tiab] OR ""lower limb""[tiab] OR ""lower limbs""[tiab] OR ""lower extremity""[tiab] OR ""lower extremities""[tiab] OR ankle[tiab] OR leg[tiab] OR heel[tiab] OR calf[tiab] OR knee[tiab] OR hip[tiab] OR thigh[tiab] OR foot[tiab] OR trunk[tiab])) NOT (animals[Mesh] NOT humans[Mesh]) AND (randomized controlled trial[pt] OR controlled clinical trial[pt] OR clinical trial[pt] OR random*[tiab] OR RCT[tiab] OR RCTs[tiab] OR controlled[tiab] OR clinical trial[tiab] OR placebo*[tiab] OR sham[tiab] OR assign*[tiab] OR allocat*[tiab] OR controls[tiab] OR trial[ti]) AND 2005:2012[dp]"
CD006103	"(cytisine[tiab] OR Tabex[tiab] OR dianicline[tiab] OR varenicline[tiab] OR champix[tiab] OR chantix[tiab] OR ""Nicotine/agonists""[Mesh] OR ""Nicotine/antagonists and inhibitors""[Mesh] OR ""Nicotinic Agonists""[Mesh] OR ""Nicotinic Antagonists""[Mesh] OR nicotinic agonist*[tiab] OR nicotinic antagonist*[tiab] OR (nicotin*[tiab] AND partial[tiab])) AND 1800:2023[dp]"
CD008973	"((Phimosis[Mesh] OR Penis[Mesh] OR Foreskin[Mesh] OR ""Circumcision, Male""[Mesh] OR phimosis[tiab] OR phimoses[tiab] OR paraphimosis[tiab] OR paraphimoses[tiab] OR penis[tiab] OR foreskin[tiab] OR prepuce[tiab] OR circumcision[tiab]) AND (Glucocorticoids[Mesh] OR ""Adrenal Cortex Hormones""[Mesh] OR Steroids[Mesh] OR steroid*[tiab] OR corticoid*[tiab] OR corticosteroid*[tiab] OR glucocorticoid*[tiab] OR betamethasone[tiab] OR clobetasol[tiab] OR triamcinolone[tiab] OR mometasone[tiab])) AND 1800:2024[dp]"
CD010216	"((((""Electronic Nicotine Delivery Systems""[Mesh] OR e-cig*[tiab] OR ecig*[tiab] OR ""electronic nicotine""[tiab] OR vape[tiab] OR vapes[tiab] OR vaporizer[tiab] OR vapourizer[tiab] OR vaporiser[tiab] OR vapouriser[tiab] OR vaper[tiab] OR vapers[tiab] OR vaping[tiab]) AND (randomized controlled trial[pt] OR controlled clinical trial[pt] OR randomized[tiab] OR placebo[tiab] OR ""Clinical Trials as Topic""[Mesh] OR randomly[tiab] OR trial[ti]) NOT (animals[Mesh] NOT humans[Mesh])) OR ((""Case-Control Studies""[Mesh] OR ""Cohort Studies""[Mesh] OR ""case control""[tiab] OR cohort[tiab] OR ""cohort study""[tiab] OR ""cohort studies""[tiab] OR ""cohort analysis""[tiab] OR ""cohort analyses""[tiab] OR ""follow up study""[tiab] OR ""follow up studies""[tiab] OR ""follow-up study""[tiab] OR ""follow-up studies""[tiab] OR ""observational study""[tiab] OR ""observational studies""[tiab] OR longitudinal[tiab]) AND (""Electronic Nicotine Delivery Systems""[Mesh] OR e-cig*[tiab] OR ecig*[tiab] OR ""electronic nicotine""[tiab] OR vape[tiab] OR vapes[tiab] OR vaporizer[tiab] OR vapourizer[tiab] OR vaporiser[tiab] OR vapouriser[tiab] OR vaper[tiab] OR vapers[tiab] OR vaping[tiab]))) AND (""Smoking Cessation""[Mesh] OR ""Tobacco Use Cessation""[Mesh] OR ""Tobacco Use Disorder""[Mesh] OR ""Smoking/therapy""[Mesh] OR ""Smoking Reduction""[Mesh] OR ""Pipe Smoking""[Mesh] OR ""Tobacco Smoking""[Mesh] OR ""Tobacco Products""[Mesh] OR Tobacco[Mesh] OR Nicotine[Mesh] OR ""smoking cessation""[tiab] OR ""tobacco cessation""[tiab] OR ""nicotine dependence""[tiab] OR ""tobacco dependence""[tiab] OR ""smoking reduction""[tiab] OR ((quit*[tiab] OR stop*[tiab] OR ceas*[tiab] OR giv*[tiab] OR abstain*[tiab] OR abstinen*[tiab]) AND (smoking[tiab] OR smoke*[tiab] OR tobacco[tiab])))) AND 1800:2024[dp]"
CD013166	"((""Extracorporeal Shockwave Therapy""[Mesh] OR ""Ultrasonic Therapy""[Mesh] OR shock wave*[tiab] OR shockwave*[tiab] OR (ultraso*[tiab] AND therap*[tiab]) OR ESWT[tiab] OR ECSW[tiab]) AND (""Erectile Dysfunction""[Mesh] OR ""Impotence, Vasculogenic""[Mesh] OR ""erectile dysfunction""[tiab] OR ""erectile dysfunctions""[tiab] OR ""erectile function""[tiab] OR ""erectile functions""[tiab] OR ""erectile failure""[tiab] OR ""erectile failures""[tiab] OR ""erection failure""[tiab] OR ""erection failures""[tiab] OR ED[tiab] OR ""penile erection""[tiab] OR ""penile erections""[tiab] OR impotenc*[tiab] OR ((sexual[tiab] OR sex[tiab]) AND (function*[tiab] OR dysfunction*[tiab] OR problem*[tiab] OR symptom*[tiab] OR arous*[tiab]))) AND (randomized controlled trial[pt] OR controlled clinical trial[pt] OR randomized[tiab] OR placebo[tiab] OR drug therapy[sh] OR randomly[tiab] OR trial[tiab] OR groups[tiab])) NOT (animals[Mesh] NOT humans[Mesh]) AND 1800:2023[dp]"
CD013603	"((""Delivery of Health Care, Integrated""[Mesh] OR ((integrat*[ti] OR coordinat*[ti] OR ""co ordinate""[ti] OR ""co ordinated""[ti] OR ""co ordination""[ti]) AND (care[ti] OR healthcare[ti] OR ""primary health""[ti] OR service*[ti])) OR ((integrat*[tiab] OR coordinat*[tiab] OR ""co ordinate""[tiab] OR ""co ordinated""[tiab] OR ""co ordination""[tiab]) AND (care[tiab] OR healthcare[tiab] OR ""primary health""[tiab] OR service*[tiab]))) AND (""Qualitative Research""[Mesh] OR ""Interviews as Topic""[Mesh] OR qualitative[tiab] OR interview*[tiab] OR themes[tiab] OR ""mixed method""[tiab] OR ""mixed methods""[tiab])) AND 1800:2023[dp]"
CD013763	"((""erector spinae plane""[tiab] OR ESP block*[tiab] OR (""erector spinae""[tiab] AND (anesth*[tiab] OR anaesth*[tiab] OR analg*[tiab])) OR (paraspinal[tiab] AND block*[tiab])) AND ((randomized controlled trial[pt] OR controlled clinical trial[pt] OR randomized[tiab] OR randomised[tiab] OR placebo[tiab] OR randomly[tiab] OR trial[tiab] OR groups[tiab]) OR ""Systematic Review""[Publication Type] OR Meta-Analysis[Publication Type] OR systemat*[tiab] OR meta analy*[tiab] OR metaanaly*[tiab])) NOT (animals[Mesh] NOT humans[Mesh]) AND 1800:2023[dp]"
CD013856	"((""Parkinson Disease""[Mesh] OR parkinson*[tiab]) AND (Software[Mesh] OR software[tiab] OR game[tiab] OR gaming[tiab] OR play*[tiab] OR simulation*[tiab] OR program*[tiab] OR techni*[tiab] OR video[tiab] OR ""Virtual Reality Exposure Therapy""[Mesh] OR ""user-computer interface""[tiab] OR interactive[tiab] OR virtual*[tiab] OR vr[tiab] OR augmented[tiab] OR exergam*[tiab] OR kinect[tiab] OR ""nintendo wii""[tiab] OR ""microsoft xbox""[tiab] OR biofeedback[tiab] OR Movement[Mesh] OR movement[tiab] OR ""Physical Therapy Modalities""[Mesh] OR ""Physical Fitness""[Mesh] OR fitness[tiab] OR ""Muscle Strength""[Mesh] OR strength[tiab] OR muscle[tiab] OR locomot*[tiab] OR ""Body Weight""[Mesh] OR ""body weight""[tiab] OR ""weight training""[tiab] OR ""motor activity""[tiab] OR Exercise[Mesh] OR exercise*[tiab] OR activit*[tiab] OR sport*[tiab] OR train*[tiab] OR intervention*[tiab] OR condition*[tiab] OR ""Physical Endurance""[Mesh] OR endurance[tiab] OR Gait[Mesh] OR gait*[tiab] OR ""postural balance""[tiab] OR Dancing[Mesh] OR danc*[tiab] OR tango[tiab] OR ""Martial Arts""[Mesh] OR ""martial art""[tiab] OR ""martial arts""[tiab] OR aerobic[tiab] OR boxing[tiab] OR shadowboxing[tiab] OR treadmill*[tiab] OR karate[tiab] OR Walking[Mesh] OR walking[tiab] OR Bicycling[Mesh] OR bicycle*[tiab] OR ""Medicine, Chinese Traditional""[Mesh] OR ""traditional chinese exercise""[tiab] OR ""Mind-Body Therapies""[Mesh] OR ""mind body""[tiab] OR ""Tai Ji""[Mesh] OR ""tai chi""[tiab] OR taiji*[tiab] OR taichi*[tiab] OR ""t'ai chi""[tiab] OR wuqinxi[tiab] OR baduanjin[tiab] OR yijiejing[tiab] OR Qigong[Mesh] OR qi-gong*[tiab] OR qigong*[tiab] OR yoga[tiab] OR asana[tiab] OR pranayama[tiab] OR dhyana[tiab] OR pilates[tiab] OR Rehabilitation[Mesh] OR rehab*[tiab] OR Therapeutics[Mesh] OR therap*[tiab] OR physical*[tiab] OR physiotherapy[tiab] OR ""exercise therapy""[tiab] OR ""Exercise Test""[Mesh] OR ""exercise test""[tiab] OR ""strengthening program""[tiab] OR ""strengthening programs""[tiab] OR ""progressive resistance training""[tiab] OR cardiorespiratory[tiab] OR ""Cardiovascular System""[Mesh] OR cardiovascular[tiab] OR aqua*[tiab] OR hydrotherapy[tiab] OR lsvt-big[tiab] OR lsvtbig[tiab] OR ""Lee Silverman Voice Treatment""[tiab] OR periodicity[tiab] OR ""socio environmental""[tiab] OR ""whole body vibration""[tiab]) AND (randomized controlled trial[pt] OR controlled clinical trial[pt] OR randomized[tiab] OR randomised[tiab] OR placebo[tiab] OR ""Clinical Trials as Topic""[Mesh] OR randomly[tiab] OR trial[ti])) NOT (animals[Mesh] NOT humans[Mesh]) AND 1800:2023[dp]"
CD013862	"((Diet[Mesh] OR Nutrition*[tiab] OR (health*[tiab] AND eat*[tiab]) OR ""Child Nutrition Sciences""[Mesh] OR Fruit[Mesh] OR Fruit*[tiab] OR Vegetable[Mesh] OR Vegetable*[tiab] OR ((Fruit[tiab] OR vegetable[tiab]) AND juice[tiab]) OR Canteen[tiab] OR ""Food Services""[Mesh] OR Menu*[tiab] OR Calories[tiab] OR kilocalories[tiab] OR kilojoules[tiab] OR ""Energy density""[tiab] OR Eating[Mesh] OR ""Feeding Behavior""[Mesh] OR ""feeding behavior""[tiab] OR ""feeding behaviour""[tiab] OR ""Dietary intake""[tiab] OR ""Food Habits""[Mesh] OR Food[Mesh] OR ""Carbonated Beverages""[Mesh] OR ""Soft drink""[tiab] OR ""Soft drinks""[tiab] OR Soda[tiab] OR ""Sugar-Sweetened Beverages""[Mesh] OR ""Dietary Fats""[Mesh] OR Confectionary[tiab] OR (school[tiab] AND (lunch*[tiab] OR meal*[tiab])) OR ""Menu planning""[tiab] OR ""Feeding program""[tiab] OR ""Feeding programs""[tiab] OR ""Food program""[tiab] OR ""Food programs""[tiab] OR (nutrition*[tiab] AND program*[tiab]) OR Cafeteria*[tiab] OR ""Nutritional Status""[Mesh] OR ""Dietary salt""[tiab] OR ""Table salt""[tiab]) AND (""Child, Preschool""[Mesh] OR ""Child Day Care Centers""[Mesh] OR childcare*[tiab] OR ""child care""[tiab] OR ""child care centers""[tiab] OR daycare*[tiab] OR ""day care""[tiab] OR ""Early child""[tiab] OR ""Early childhood""[tiab] OR nursery[tiab] OR nurseries[tiab] OR Kinder*[tiab] OR family[tiab] OR ""home base""[tiab] OR homebased[tiab] OR ""in home""[tiab] OR pre-school*[tiab] OR preschool*[tiab]) AND (randomized controlled trial[pt] OR controlled clinical trial[pt] OR randomized[tiab] OR trial[ti] OR randomly[tiab] OR ""Clinical Trials as Topic""[Mesh])) NOT (animals[Mesh] NOT humans[Mesh]) AND 1800:2023[dp]"
CD014160	"((""Acupuncture Therapy""[Mesh] OR Acupuncture[Mesh] OR ""Acupuncture Points""[Mesh] OR ""Acupuncture Analgesia""[Mesh] OR ""Acupuncture, Ear""[Mesh] OR Meridians[Mesh] OR ""Low-Level Light Therapy""[Mesh] OR acupuncture*[tiab] OR acupoint*[tiab] OR acupressure*[tiab] OR ""catgut embedding""[tiab] OR electroacupuncture*[tiab] OR electro-acupuncture*[tiab] OR pharmacopuncture[tiab] OR meridian*[tiab] OR ""transcutaneous electric nerve stimulation""[tiab] OR NESAP[tiab] OR neuromodulat*[tiab] OR ""electric stimulation therapy""[tiab] OR ""electric stimulation therapies""[tiab] OR ""neuroelectric therapy""[tiab] OR ""neuroelectric therapies""[tiab] OR ""neuro-electric therapy""[tiab] OR ""neuro-electric therapies""[tiab] OR ""low-level laser therapy""[tiab] OR ""low-level laser therapies""[tiab] OR ""low-level light therapy""[tiab] OR ""low-level light therapies""[tiab] OR photobiomodulat*[tiab] OR LLLT[tiab] OR ""low-power laser therapy""[tiab] OR ""low-power laser therapies""[tiab] OR ""low-power laser irradiation""[tiab] OR ""laser biostimulation""[tiab] OR ""laser phototherapy""[tiab]) AND (""Neonatal Abstinence Syndrome""[Mesh] OR ""Substance Withdrawal Syndrome""[Mesh] OR ""neonatal abstinence""[tiab] OR ""neonatal withdrawal""[tiab] OR ""neonatal passive addiction""[tiab] OR ""prenatal substance use""[tiab] OR ""neonatal substance use""[tiab] OR ((substance[tiab] OR opioid[tiab] OR abstinence*[tiab] OR withdrawal*[tiab] OR ""passive addiction""[tiab]) AND (prenat*[tiab] OR neonat*[tiab] OR infant*[tiab] OR newborn*[tiab] OR ""newly born""[tiab] OR gestational[tiab])) OR NAS[tiab] OR NWS[tiab] OR NPA[tiab] OR NOWS[tiab] OR PSU[tiab] OR NSU[tiab] OR PPA[tiab])) AND 1800:2023[dp]"
