CD001920	10025133
CD001920	10037084
CD001920	10051930
CD001920	10066688
CD001920	10066720
CD001920	10066854
CD001920	10074017
CD001920	10079415
CD001920	10079420
CD001920	10084063
CD001920	10088582
CD001920	10088585
CD001920	10098714
CD001920	10102462
CD001920	10126337
CD001920	10146904
CD001920	10150182
CD001920	10171598
CD001920	10177452
CD001920	10188602
CD001920	10188609
CD001920	10199350
CD001920	10199948
CD001920	10203198
CD001920	10204815
CD001920	10206598
CD001920	10206604
CD001920	10207209
CD001920	10210807
CD001920	10218364
CD001920	10218739
CD001920	10218747
CD001920	10225072
CD001920	10229728
CD001920	10230166
CD001920	10232431
CD001920	10319359
CD001920	10326915
CD001920	10327094
CD001920	10328073
CD001920	10336572
CD001920	10340415
CD001920	10340423
CD001920	10348394
CD001920	10354193
CD001920	10355472
CD001920	10355958
CD001920	10363288
CD001920	10378323
CD001920	10378938
CD001920	10380728
CD001920	10386743
CD001920	10388800
CD001920	10389449
CD001920	10390310
CD001920	10390311
CD001920	10392329
CD001920	10392645
CD001920	10404500
CD001920	10408282
CD001920	10414764
CD001920	10416559
CD001920	10420874
CD001920	10421300
CD001920	10425982
CD001920	10426521
CD001920	10427675
CD001920	10431993
CD001920	10435374
CD001920	10436461
CD001920	10438120
CD001920	10438552
CD001920	10440916
CD001920	10444643
CD001920	10452229
CD001920	10453922
CD001920	10460118
CD001920	10460816
CD001920	10462017
CD001920	10467531
CD001920	10478805
CD001920	10480299
CD001920	10484598
CD001920	10491346
CD001920	10493540
CD001920	10496118
CD001920	10501817
CD001920	10506089
CD001920	10510990
CD001920	10512915
CD001920	10514917
CD001920	10520146
CD001920	10527003
CD001920	10527076
CD001920	10527096
CD001920	10534249
CD001920	10539816
CD001920	10541321
CD001920	10543927
CD001920	10548673
CD001920	10552169
CD001920	10552326
CD001920	10563646
CD001920	10564141
CD001920	10588532
CD001920	10590187
CD001920	10593168
CD001920	10593539
CD001920	10597809
CD001920	10597811
CD001920	10598888
CD001920	10599903
CD001920	10599982
CD001920	10600663
CD001920	10601186
CD001920	10601535
CD001920	10604042
CD001920	10608650
CD001920	10608651
CD001920	10610077
CD001920	10622270
CD001920	10625709
CD001920	10630284
CD001920	10633526
CD001920	10638883
CD001920	10642363
CD001920	10645695
CD001920	10647533
CD001920	10647535
CD001920	10647966
CD001920	10650350
CD001920	10651170
CD001920	10652399
CD001920	10660867
CD001920	10661755
CD001920	10665675
CD001920	10666825
CD001920	10671701
CD001920	10675278
CD001920	10677406
CD001920	10678541
CD001920	10682162
CD001920	10682943
CD001920	10683100
CD001920	10686775
CD001920	10688339
CD001920	10688340
CD001920	10690343
CD001920	10699448
CD001920	10715760
CD001920	10715804
CD001920	10716298
CD001920	10716480
CD001920	10717788
CD001920	10721816
CD001920	10727072
CD001920	10727587
CD001920	10728029
CD001920	10728943
CD001920	10731382
CD001920	10732846
CD001920	10738427
CD001920	10743730
CD001920	10743732
CD001920	10744188
CD001920	10746517
CD001920	10750600
CD001920	10753688
CD001920	10758813
CD001920	10765005
CD001920	10768528
CD001920	10771743
CD001920	10776892
CD001920	10797160
CD001920	1079717
CD001920	10798235
CD001920	10815280
CD001920	10821307
CD001920	10822433
CD001920	10824629
CD001920	10834453
CD001920	10835457
CD001920	10835458
CD001920	10835468
CD001920	10836912
CD001920	10845815
CD001920	10849904
CD001920	10850108
CD001920	10852317
CD001920	10853679
CD001920	10853681
CD001920	10853722
CD001920	10855904
CD001920	10855905
CD001920	10860198
CD001920	10862533
CD001920	10862538
CD001920	10864391
CD001920	10868718
CD001920	10869314
CD001920	10871810
CD001920	10874255
CD001920	10874272
CD001920	10874279
CD001920	10878702
CD001920	10881255
CD001920	10883381
